,id,output
17,2343,"[ 0.82160497  0.37339437 -1.4718425  -1.0644227   0.7159426   1.4296789
  0.05803864  0.44238207  0.42346406 -0.57678163 -1.4627885  -0.51863384
  1.0123553   0.85255283  0.6902427   0.22093688 -0.95855695 -0.03464906
  1.0198761   0.9179244 ]"
18,2207,"[ 1.2331693   0.6918083  -2.0917811  -1.5654055   1.0596122   2.0179338
 -0.13401128  0.57019776  0.54504895 -0.8073738  -2.0225196  -0.9153933
  1.4939365   1.1041297   1.0655078   0.11908621 -1.2266079  -0.14272033
  1.5715675   1.2331278 ]"
19,2062,"[ 0.6986012   0.35971773 -1.1424624  -0.8404838   0.6077092   1.0036573
 -0.06493934  0.38142648  0.3464798  -0.3987755  -1.0221903  -0.45365342
  0.78290343  0.61153936  0.6734936   0.04571979 -0.7504796  -0.02373164
  0.84355366  0.73292094]"
20,2454,"[ 1.1241633   0.61413306 -2.0276573  -1.4757448   0.9933116   1.9680974
 -0.0173666   0.53694385  0.50490415 -0.7552743  -1.9412261  -0.7952465
  1.4109133   1.128918    0.9671559   0.17242299 -1.1732092  -0.05713151
  1.4571537   1.2024292 ]"
21,716,"[ 0.66502374  0.32256937 -1.3101476  -0.87639093  0.61994004  1.2337298
  0.04709156  0.39719915  0.35873854 -0.5002968  -1.2375923  -0.40617356
  0.865879    0.7743851   0.5938665   0.19492018 -0.84306836 -0.00923692
  0.86229813  0.8114804 ]"
22,228,"[ 0.52261776  0.11989257 -0.9567084  -0.65670866  0.33249143  0.9034445
  0.19215707  0.23262674  0.26926035 -0.3042348  -0.94977    -0.09174705
  0.51710594  0.69855344  0.33290255  0.2655691  -0.66948676  0.11286011
  0.50085694  0.689096  ]"
23,55,"[ 0.07243823 -0.18159609 -0.39705056 -0.14149973 -0.05051951  0.38581592
  0.4320671   0.08122741  0.08191796 -0.08965997 -0.4500198   0.28213567
  0.04522863  0.47740144 -0.09114438  0.40946144 -0.3640697   0.18952046
 -0.0452649   0.38404238]"
24,1529,"[ 1.1509984   0.69228864 -1.8505979  -1.4028183   1.0162808   1.7942656
 -0.24678431  0.5174792   0.52941704 -0.74157083 -1.774065   -0.9309632
  1.3905661   0.9165789   1.0409755  -0.03979934 -1.0712844  -0.21362042
  1.4839517   1.0441799 ]"
25,162,"[ 0.83873     0.29128408 -1.5614429  -1.0782541   0.6235615   1.5264145
  0.20798849  0.3885684   0.4120671  -0.5321146  -1.586432   -0.31832084
  0.9493412   1.0426699   0.59409505  0.38213444 -1.008879    0.09475632
  0.92205685  1.0486652 ]"
26,1422,"[-0.00947188 -0.20894553 -0.09259963  0.02981095 -0.183796    0.00966387
  0.2918719   0.00743305  0.05178695 -0.0047318  -0.15251052  0.2978535
 -0.13647246  0.18825604 -0.09334306  0.2841728  -0.22092     0.15174507
 -0.20014137  0.23854   ]"
27,480,"[ 0.27810997 -0.05138341 -0.73209727 -0.35598484  0.1611991   0.6482492
  0.35470307  0.21054623  0.18687637 -0.21772726 -0.69857204  0.12806168
  0.28697664  0.6359739   0.1455678   0.37921253 -0.5836439   0.1830101
  0.22190118  0.5689803 ]"
28,1137,"[ 0.44108236  0.16618589 -0.9202135  -0.5918519   0.41213793  0.85382545
  0.15720412  0.32369936  0.24820945 -0.33093178 -0.85798085 -0.1681072
  0.5444518   0.61434484  0.39132556  0.22683728 -0.657177    0.05674811
  0.5405193   0.6112076 ]"
29,1886,"[ 0.5499301   0.25977048 -1.0087729  -0.69660044  0.50304365  0.8787815
  0.0390975   0.3518714   0.27871376 -0.36800838 -0.89689225 -0.28697118
  0.64844227  0.6048679   0.48074     0.13572647 -0.6867631   0.01808033
  0.63869494  0.6577311 ]"
30,803,"[ 1.2679173   0.7647263  -2.0472782  -1.5878325   1.1310054   1.9528822
 -0.24598235  0.6007525   0.5864711  -0.8106249  -1.9639714  -1.015648
  1.5279628   0.9996968   1.1493328  -0.0047479  -1.2040687  -0.21282311
  1.6324358   1.1929739 ]"
31,1401,"[ 0.86606026  0.40747675 -1.584843   -1.1260486   0.7662989   1.4626482
  0.13141944  0.49914578  0.40132737 -0.56140834 -1.5187364  -0.4770056
  1.0276796   0.97623193  0.6972709   0.26780334 -1.0393016   0.04737379
  1.0398698   1.0332104 ]"
32,774,"[ 0.5815631   0.22596836 -1.1842152  -0.750965    0.53788847  1.1061457
  0.12710267  0.37052506  0.3200656  -0.4211409  -1.1055026  -0.2932813
  0.7317694   0.73324287  0.51831776  0.23501255 -0.7887829   0.04027595
  0.72814476  0.75370795]"
33,847,"[ 0.19212511 -0.07268952 -0.53245914 -0.28314927  0.07873233  0.46707582
  0.34038347  0.1465286   0.14639127 -0.1865772  -0.57247645  0.1513131
  0.20304726  0.4580727   0.06050067  0.35354093 -0.46589333  0.1626744
  0.10278997  0.44751793]"
34,526,"[ 0.71252656  0.14095792 -1.4584433  -0.9592537   0.47994846  1.4268245
  0.42480743  0.3608912   0.3410104  -0.46253204 -1.5027175  -0.14225855
  0.8092152   1.0830184   0.4251081   0.5358153  -0.99142617  0.18961503
  0.75698286  1.0564095 ]"
35,1920,"[ 0.7666447   0.4014091  -1.3748767  -0.9676303   0.72309124  1.2500163
  0.0030355   0.47030747  0.3913631  -0.50345474 -1.2668289  -0.46876693
  0.91534466  0.7976556   0.71225786  0.13238196 -0.89653814 -0.02721128
  0.9341764   0.88515854]"
36,1655,"[ 0.87046456  0.3897288  -1.4102114  -1.0540469   0.6889387   1.1843312
  0.01834146  0.45077345  0.39398098 -0.45945573 -1.2882382  -0.45315775
  0.9188655   0.8023109   0.74157894  0.17236103 -0.9813131   0.06975617
  0.95843166  1.0029377 ]"
37,1751,"[ 0.38352224 -0.03748798 -1.0269094  -0.5646274   0.2334166   0.9752176
  0.47886688  0.23976573  0.23647316 -0.34092024 -1.0676692   0.11383916
  0.47430015  0.8370614   0.17040525  0.54160666 -0.8022597   0.2087007
  0.36299327  0.77543026]"
38,999,"[ 0.67961097  0.20308949 -1.2446556  -0.8821865   0.46990928  1.218776
  0.20595148  0.31141266  0.3463488  -0.42469424 -1.2637761  -0.2327393
  0.74712676  0.85120094  0.4609208   0.32520863 -0.82443047  0.08819092
  0.71835566  0.85978854]"
39,1583,"[ 0.49367794  0.12292237 -1.0993435  -0.6832555   0.37344003  1.1107111
  0.25509626  0.2696561   0.2593183  -0.38533378 -1.0795648  -0.14009331
  0.6202883   0.77793896  0.32204863  0.3356466  -0.74158776  0.08740097
  0.59046555  0.69582915]"
40,879,"[ 0.40729278  0.02324408 -0.89377236 -0.54238045  0.27296078  0.8714691
  0.3327167   0.25022265  0.2603792  -0.2998152  -0.9127953   0.00405956
  0.4533516   0.71173745  0.23562083  0.38610137 -0.67261744  0.12046915
  0.38907138  0.6664246 ]"
41,1261,"[ 0.89965063  0.45399228 -1.5735068  -1.1462616   0.77825135  1.4744865
  0.00499384  0.4601621   0.4140627  -0.599405   -1.4964548  -0.58635545
  1.0827104   0.8848656   0.7622713   0.1693298  -1.005617   -0.03743848
  1.1196502   0.9842272 ]"
42,764,"[ 1.1949887   0.7511953  -2.068024   -1.5362549   1.1649985   1.947326
 -0.15275793  0.6651526   0.55545676 -0.7770549  -1.9612691  -0.9430813
  1.5016357   1.0714849   1.1415104   0.10286293 -1.2521596  -0.11151675
  1.5724088   1.2374173 ]"
43,2154,"[ 0.68770885  0.30943215 -1.331986   -0.9445048   0.5839726   1.410174
  0.06743419  0.31383157  0.39709097 -0.5483687  -1.3844776  -0.47152904
  0.9199313   0.788499    0.5649319   0.20723    -0.7954952  -0.09549078
  0.9102264   0.78184134]"
44,744,"[ 0.8619154   0.39303386 -1.6016642  -1.1186433   0.795486    1.4642581
  0.10312861  0.5102783   0.41598853 -0.56813014 -1.5039529  -0.49240527
  1.0466981   0.941366    0.76649237  0.25320354 -1.0543933   0.04479669
  1.0535431   1.0376318 ]"
45,2453,"[ 0.8795503   0.5007144  -1.4610647  -1.1053956   0.7849748   1.3824168
 -0.1311477   0.43800783  0.44254577 -0.58080894 -1.3798863  -0.6707912
  1.0676512   0.7582757   0.80183     0.05059338 -0.910692   -0.12266296
  1.1047053   0.88073874]"
46,1522,"[ 0.40392047  0.05682032 -0.8236506  -0.5161368   0.23346819  0.77787787
  0.19795847  0.19485599  0.23188798 -0.29072994 -0.80837524 -0.05433672
  0.43118948  0.5980236   0.2592142   0.26413527 -0.59463215  0.09143861
  0.3952618   0.5897413 ]"
47,2451,"[ 1.3607676   0.8348154  -2.3498852  -1.7449585   1.2839998   2.2682087
 -0.1599257   0.7033394   0.5974488  -0.9105164  -2.2604692  -1.1141082
  1.7361948   1.2044951   1.259509    0.13329323 -1.3601457  -0.17156285
  1.8081138   1.3559844 ]"
48,935,"[ 0.8584913   0.5681973  -1.4663788  -1.0713841   0.8823598   1.3386072
 -0.19010717  0.525819    0.43671998 -0.55287516 -1.3037053  -0.7014477
  1.0715705   0.754477    0.87149054 -0.0084917  -0.8857271  -0.10727469
  1.1527234   0.8414672 ]"
49,2308,"[ 0.7023375   0.34012377 -1.3817601  -0.9267925   0.6713989   1.3466114
  0.09669194  0.41806942  0.35728127 -0.5296432  -1.3277047  -0.45458785
  0.91126245  0.835391    0.60748744  0.21570538 -0.87154174 -0.0298035
  0.9091992   0.8405537 ]"
50,1479,"[ 0.71552414  0.40031675 -1.2490648  -0.89689195  0.66930085  1.2176241
 -0.10186917  0.3921137   0.36721835 -0.52220154 -1.1680702  -0.5499367
  0.883942    0.6660333   0.67499644  0.04233213 -0.7578245  -0.13562688
  0.927253    0.6900642 ]"
51,7,"[ 0.9519638   0.48882166 -1.6936308  -1.2413605   0.8501123   1.5882595
 -0.00303598  0.48494688  0.45367712 -0.64414656 -1.6136684  -0.61863714
  1.1623806   0.9512083   0.8200492   0.17596051 -1.061539   -0.02964856
  1.191033    1.048165  ]"
52,2047,"[ 0.8410917   0.49084452 -1.5461222  -1.0878025   0.84045446  1.4505088
 -0.02632795  0.51894563  0.4168709  -0.5977322  -1.4217571  -0.6019561
  1.0670162   0.87176424  0.7985005   0.13615954 -0.97311234 -0.04153571
  1.1184468   0.9216141 ]"
53,553,"[ 1.1961907   0.75625616 -2.0054877  -1.4876251   1.1434811   1.851247
 -0.23474744  0.6320217   0.54271173 -0.7811657  -1.834829   -0.9676607
  1.480761    0.99186796  1.1539948   0.00387365 -1.1870099  -0.14480437
  1.5808481   1.1480349 ]"
54,1189,"[ 1.181623    0.69065374 -1.8635309  -1.4390503   1.0448582   1.7180699
 -0.2094737   0.5698564   0.54354537 -0.7143694  -1.7549729  -0.9079595
  1.3871044   0.9218773   1.0906205  -0.00939601 -1.1292758  -0.16032211
  1.4779716   1.1367781 ]"
55,1447,"[ 1.0116435   0.6027511  -1.7557305  -1.2913146   0.9768353   1.6503836
 -0.12650757  0.5550221   0.49545568 -0.7240077  -1.6572435  -0.8052946
  1.2937411   0.8808189   0.9666668   0.07389267 -1.0958788  -0.13144912
  1.3344023   1.011866  ]"
56,1536,"[ 0.48103863  0.21783057 -0.8754767  -0.6039806   0.44045925  0.7767417
  0.0300977   0.31320083  0.29102576 -0.34443823 -0.8379264  -0.28866163
  0.55849475  0.49596152  0.47644976  0.12944968 -0.6189388  -0.03192562
  0.55798864  0.6040138 ]"
57,478,"[ 0.37599117 -0.02604725 -0.90658885 -0.518199    0.21101232  0.8445211
  0.37024963  0.20957816  0.22022875 -0.29698643 -0.9219925   0.07767257
  0.41470334  0.72850454  0.17677104  0.4383283  -0.70089513  0.198317
  0.34647682  0.66773206]"
58,667,"[ 0.8128738   0.47720033 -1.4305419  -1.0242592   0.7296552   1.3206453
 -0.08190494  0.444543    0.37536642 -0.53040457 -1.2827609  -0.5813959
  0.9757383   0.7861169   0.7435577   0.05597727 -0.89344054 -0.03732691
  1.0465971   0.8260935 ]"
59,2384,"[ 1.0151547   0.47289515 -1.7546873  -1.2854118   0.84660614  1.6277128
  0.07262473  0.50276804  0.46056432 -0.5858226  -1.6824324  -0.55221796
  1.1513933   1.0626508   0.8318919   0.25427216 -1.1051513   0.06212216
  1.1919123   1.1456364 ]"
60,2491,"[ 0.39475238  0.04352922 -0.9711481  -0.56292945  0.2982402   0.9799102
  0.2914175   0.22335574  0.24948394 -0.395646   -1.0019782  -0.07570194
  0.54022384  0.68733215  0.24155496  0.3863209  -0.6785552   0.07919309
  0.44823077  0.62283474]"
61,95,"[ 0.96647274  0.53556395 -1.7766168  -1.2583406   0.93130314  1.6741437
 -0.02122046  0.5431254   0.4712715  -0.6885026  -1.6560755  -0.6847887
  1.2376065   0.94864804  0.9015204   0.14784966 -1.0991132  -0.05518507
  1.2659298   1.0609292 ]"
62,1759,"[ 0.40895918 -0.05172529 -1.031704   -0.5532622   0.21665032  0.98824024
  0.5009149   0.2349315   0.23077984 -0.31685597 -1.0616465   0.18208408
  0.44573775  0.9014536   0.1553821   0.55100834 -0.7735845   0.2747427
  0.3335718   0.77795994]"
63,564,"[ 0.65414387  0.2602103  -1.1592515  -0.79966253  0.53496104  1.0209712
  0.0974526   0.36804783  0.3114434  -0.36859658 -1.0426732  -0.27703437
  0.71113026  0.75173134  0.5644884   0.1898707  -0.8103241   0.06821404
  0.7324988   0.81286603]"
64,314,"[ 0.445957    0.01742905 -0.875742   -0.54923534  0.19492137  0.81159633
  0.3032212   0.18770176  0.24244636 -0.27435082 -0.8821307   0.05296213
  0.41543052  0.7200461   0.21363792  0.3433427  -0.68210095  0.15448195
  0.36833903  0.7067823 ]"
65,221,"[ 0.7424934   0.29755613 -1.4262702  -0.999152    0.64075965  1.3804715
  0.17419611  0.41817218  0.3955621  -0.54879713 -1.4459578  -0.37148497
  0.92754334  0.90324086  0.5743838   0.34983546 -0.9790924   0.03215878
  0.8823814   0.9280088 ]"
66,2021,"[ 1.0019703   0.56841886 -1.7013216  -1.2496859   0.9113194   1.563081
 -0.09825505  0.52790064  0.48275426 -0.6372433  -1.5815693  -0.7043802
  1.186906    0.9134506   0.91147554  0.09095598 -1.0372732  -0.04839586
  1.2507669   1.0302694 ]"
67,143,"[ 0.04170769 -0.22266063 -0.21933025 -0.03035343 -0.13699321  0.09245891
  0.431793    0.07591925  0.07235766 -0.01991823 -0.27834424  0.3939594
 -0.10937284  0.36165065 -0.12008458  0.40119582 -0.32949397  0.25019503
 -0.20930818  0.40022528]"
68,1889,"[ 0.839945    0.32642996 -1.4979849  -1.0729545   0.5956809   1.4595113
  0.16954708  0.3535208   0.38941997 -0.5172336  -1.4775395  -0.40977132
  0.95095766  0.97856325  0.59925854  0.27765262 -0.95807374  0.05214611
  0.9655368   0.9934655 ]"
69,2473,"[ 0.6037278   0.19262306 -1.105883   -0.7635375   0.42218554  1.0102873
  0.13455564  0.2696563   0.3311968  -0.35936353 -1.0767066  -0.21116173
  0.66020566  0.71952206  0.45218143  0.24205175 -0.7634411   0.07584119
  0.6543834   0.76488227]"
70,2360,"[ 0.9121713   0.43619803 -1.5846761  -1.1615527   0.77794087  1.4151274
  0.04745844  0.4980185   0.4186728  -0.5320293  -1.464767   -0.52084285
  1.0491097   0.9187459   0.77436644  0.20461746 -1.0478921   0.05926392
  1.0782715   1.0352784 ]"
71,2467,"[ 0.2445506  -0.06557176 -0.55015314 -0.30036715  0.07457692  0.46146438
  0.28576303  0.1369644   0.1837103  -0.14352119 -0.5667512   0.14828466
  0.18843569  0.52497923  0.09901311  0.311117   -0.47808895  0.15090393
  0.12830935  0.52356005]"
72,2450,"[ 0.96669924  0.53129137 -1.639357   -1.2251905   0.8686504   1.5534601
 -0.06885245  0.5024633   0.46084455 -0.6343519  -1.5661789  -0.6862186
  1.1697837   0.88456976  0.8533274   0.10243188 -1.0245017  -0.10196023
  1.2077893   0.9946976 ]"
73,675,"[ 0.70426565  0.33801106 -1.1175008  -0.8493007   0.5413169   1.0091454
 -0.09315173  0.2876141   0.36671352 -0.43051052 -1.028952   -0.4541646
  0.7761221   0.57062006  0.62125397  0.03251605 -0.76290715 -0.05117047
  0.827258    0.7305941 ]"
74,1714,"[ 0.10922444  0.12392296 -0.3401327  -0.1825448   0.22294784  0.31840074
  0.05261576  0.19565132  0.08431841 -0.15827012 -0.29275322 -0.10628109
  0.18741542  0.20374008  0.16999708  0.05048312 -0.23277828 -0.003256
  0.19615997  0.20046031]"
75,1742,"[ 0.34418675  0.08654595 -0.7630348  -0.4524535   0.32819986  0.6162568
  0.22170688  0.32684216  0.19751127 -0.2121176  -0.67713356  0.0072011
  0.37085167  0.5811663   0.31266555  0.2586134  -0.5819588   0.1492168
  0.342663    0.58741724]"
76,1708,"[ 0.4814356   0.06369968 -1.0946491  -0.622948    0.38264254  0.9361671
  0.36579046  0.3554497   0.2531843  -0.29121614 -1.0010471   0.02855777
  0.5135334   0.8678073   0.34125867  0.42913148 -0.81837887  0.23951772
  0.47923976  0.85992557]"
77,1021,"[ 1.0626488   0.6694476  -1.8777629  -1.3675944   1.0900239   1.7737651
 -0.16131899  0.6301197   0.5157592  -0.7360674  -1.732535   -0.88296574
  1.3814545   0.9708193   1.0396765   0.05850068 -1.1299967  -0.1712581
  1.4546878   1.0816789 ]"
78,1095,"[ 1.1336701   0.59879655 -2.0773573  -1.4698355   1.0324408   1.9526215
  0.06320661  0.6164985   0.47681016 -0.74012035 -1.9845884  -0.76447076
  1.4117775   1.1743264   0.98400724  0.2589015  -1.2599928   0.006197
  1.4492579   1.2963055 ]"
79,2394,"[ 0.03442948 -0.1503479  -0.35753947 -0.08419331 -0.03375354  0.34668675
  0.34371507  0.05487819  0.11548844 -0.18913554 -0.4595948   0.16782907
  0.08279369  0.31305176 -0.06856049  0.37249136 -0.358532    0.09458421
 -0.05089718  0.295616  ]"
80,2245,"[ 0.7057464   0.26503345 -1.3946043  -0.9185975   0.62435776  1.2750454
  0.2168316   0.4437075   0.3594032  -0.4526462  -1.3181942  -0.24758215
  0.82648003  0.9309747   0.5755253   0.32924315 -0.9265619   0.13809727
  0.81858677  0.952558  ]"
81,2270,"[ 1.0408517   0.5908318  -1.8685563  -1.348931    0.9893919   1.7299578
 -0.05555378  0.5793398   0.4599372  -0.6916685  -1.6824241  -0.746062
  1.2836292   1.0197214   0.9649322   0.11546028 -1.1486132  -0.02844662
  1.3546481   1.1183438 ]"
82,1695,"[ 0.85454565  0.40283826 -1.4841567  -1.0625608   0.7217282   1.344614
  0.03028928  0.437638    0.40275717 -0.53691226 -1.3991277  -0.5063845
  0.9820906   0.8594993   0.72594583  0.17319025 -0.95832086  0.01445682
  1.0137064   0.95380825]"
83,2099,"[ 0.50972885  0.25974426 -0.9157161  -0.6406854   0.46781746  0.84941363
 -0.01975869  0.30456823  0.29669756 -0.39996684 -0.87274474 -0.3567914
  0.62226796  0.49979123  0.48801166  0.09183105 -0.6399581  -0.05490073
  0.62311125  0.5585596 ]"
84,808,"[-0.05113494 -0.30151442 -0.2032546   0.06320666 -0.19208905  0.09620407
  0.49074873  0.04773347  0.00767725  0.00843905 -0.20735088  0.47575083
 -0.14955097  0.399506   -0.1724099   0.4410088  -0.29538497  0.30613142
 -0.2603      0.31797618]"
85,353,"[ 1.2381959   0.68489146 -2.0794811  -1.542328    1.0734742   1.9575872
 -0.10182363  0.61405504  0.53962266 -0.77406573 -1.9792057  -0.8784611
  1.474967    1.1211903   1.1003066   0.13508026 -1.2381244  -0.07232125
  1.5500077   1.2644886 ]"
86,1865,"[ 0.7786754   0.37219614 -1.3934333  -0.98033106  0.6769819   1.3140781
  0.02943797  0.4425949   0.39363548 -0.55299    -1.3540382  -0.48816544
  0.94236815  0.8086246   0.66326326  0.1830302  -0.91704434 -0.02662748
  0.94135404  0.87157935]"
87,588,"[ 1.2281386   0.75163925 -2.0058162  -1.532346    1.1564043   1.8875996
 -0.23646896  0.6381399   0.57535815 -0.79689926 -1.8964121  -1.0203753
  1.5073475   0.9829226   1.1600196   0.01388664 -1.201104   -0.20497587
  1.6120089   1.1953808 ]"
88,2266,"[ 1.1134433   0.6728533  -1.884264   -1.4426486   1.0669825   1.8236544
 -0.18274888  0.59464854  0.55548394 -0.7622695  -1.8379439  -0.9198266
  1.4223658   0.94431925  1.0584072   0.04019872 -1.1321996  -0.19017301
  1.4792687   1.1056182 ]"
89,721,"[ 1.0278991   0.5442467  -1.8008724  -1.304423    0.9228054   1.6904936
 -0.02878421  0.51613164  0.48232195 -0.70182496 -1.711031   -0.71255
  1.2694418   1.0030935   0.87993497  0.18431246 -1.111184   -0.04562824
  1.3003137   1.0786299 ]"
90,971,"[ 1.2454183   0.6840216  -2.0444958  -1.5481838   1.0084218   1.9293708
 -0.11278945  0.53388584  0.5147507  -0.6936713  -1.9241214  -0.86548626
  1.4287976   1.1125703   1.0666806   0.08169717 -1.1659273  -0.03775949
  1.5383656   1.2455438 ]"
91,690,"[ 0.19412613 -0.10826313 -0.57867885 -0.23535281  0.04402514  0.50154096
  0.38910335  0.16092253  0.14229697 -0.129929   -0.53487563  0.23439744
  0.14832991  0.5837657   0.05580375  0.3751766  -0.49587741  0.23014385
  0.08811162  0.4988929 ]"
92,1775,"[ 0.7848849   0.42465004 -1.4020693  -1.0138836   0.71744406  1.3411652
 -0.04671547  0.43322286  0.4100132  -0.5782413  -1.3492643  -0.562861
  0.9705889   0.7534967   0.7194829   0.12345849 -0.8895511  -0.08632015
  0.9990705   0.83492225]"
93,1783,"[ 0.2818476  -0.0403297  -0.5438784  -0.33497056  0.05257668  0.47377324
  0.22599444  0.0684433   0.17197047 -0.19599769 -0.5844321   0.04641004
  0.2299099   0.39631993  0.11988196  0.25221068 -0.4351713   0.10348943
  0.18023191  0.4540445 ]"
94,1543,"[ 0.14613445 -0.17880636 -0.6002041  -0.25308856  0.02340786  0.5373371
  0.45055056  0.12906598  0.11287005 -0.20237936 -0.6318198   0.28807837
  0.17433138  0.58414245 -0.0325973   0.48610118 -0.51887953  0.26270875
  0.05401606  0.49600333]"
95,757,"[ 0.6524792   0.37636843 -1.1242249  -0.8234867   0.6206477   1.0549012
 -0.0922483   0.40092868  0.34912348 -0.46896186 -1.0629058  -0.5250489
  0.8024546   0.5792104   0.6300601   0.02970438 -0.72489053 -0.13760963
  0.82706445  0.68552303]"
96,487,"[ 0.1723666  -0.27397722 -0.5717654  -0.24408293 -0.13915086  0.4986665
  0.556941    0.03317246  0.12911898 -0.12384848 -0.6600116   0.42507264
  0.08790667  0.66771257 -0.14443618  0.58584034 -0.5528211   0.3308067
 -0.02973745  0.58484304]"
97,158,"[ 0.40640453  0.12984107 -0.8845823  -0.5328782   0.3199914   0.7748233
  0.19504398  0.2819209   0.21373919 -0.26751137 -0.78331167 -0.07176639
  0.45874578  0.65756917  0.322334    0.23666409 -0.6281458   0.1303995
  0.44233853  0.6320213 ]"
